Player,Team1,Pos,Salary,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Arbitration Eligible
Aaron Judge,NYY,OF,40000000.00,31,106,367,79,98,16,0,37,75,3,1,88,130,0,3,0,0.267,0.406,0.613,1.019,0
Anthony Rendon,LAA,3B,38571428.00,33,43,148,23,35,6,0,2,22,2,0,25,27,0,4,6,0.236,0.361,0.318,0.679,0
Mike Trout,LAA,OF,37116666.00,32,82,308,54,81,14,1,18,44,2,0,45,104,0,2,7,0.263,0.367,0.49,0.857,0
Corey Seager,TEX,SS,35500000.00,29,119,477,88,156,42,0,33,96,2,1,49,88,0,6,4,0.327,0.39,0.623,1.013,0
Nolan Arenado,STL,3B,35025000.00,32,144,560,71,149,26,2,26,93,3,3,41,101,0,8,3,0.266,0.315,0.459,0.774,0
Francisco Lindor,NYM,SS,34100000.00,30,160,602,108,153,33,2,31,98,31,4,66,137,0,7,12,0.254,0.336,0.47,0.806,0
Carlos Correa,MIN,SS,33333333.00,29,135,514,60,118,29,2,18,65,0,0,59,131,0,3,4,0.23,0.312,0.399,0.711,0
Giancarlo Stanton,NYY,OF,32000000.00,34,101,371,43,71,13,0,24,60,0,0,41,124,0,1,2,0.191,0.275,0.42,0.695,0
Miguel Cabrera,DET,DH,32000000.00,40,98,334,21,86,20,0,4,34,0,0,31,74,0,3,2,0.257,0.322,0.353,0.675,0
Alex Bregman,HOU,3B,30500000.00,29,161,622,103,163,28,4,25,98,3,1,92,87,0,2,8,0.262,0.363,0.441,0.804,0
Shohei Ohtani,LAA,DH,30000000.00,29,135,497,102,151,26,8,44,95,20,6,91,143,0,3,3,0.304,0.412,0.654,1.066,0
Jose Altuve,HOU,2B,29000000.00,33,90,360,76,112,21,2,17,51,14,2,44,71,0,1,5,0.311,0.393,0.522,0.915,0
Kris Bryant,COL,OF,28000000.00,32,80,300,36,70,10,0,10,31,0,0,29,68,0,0,6,0.233,0.313,0.367,0.68,0
Bryce Harper,PHI,1B,27538462.00,31,126,457,84,134,29,1,21,72,11,3,80,119,0,4,5,0.293,0.401,0.499,0.9,0
Trea Turner,PHI,SS,27272727.00,30,155,639,102,170,35,5,26,76,30,0,45,150,0,1,6,0.266,0.32,0.459,0.779,0
Freddie Freeman,LAD,1B,27000000.00,34,161,637,131,211,59,2,29,102,23,1,72,121,0,5,16,0.331,0.41,0.567,0.977,0
Bobby Witt Jr.,KC,SS,26180000.00,23,158,641,97,177,28,11,30,96,49,15,40,121,1,8,4,0.276,0.319,0.495,0.814,0
Christian Yelich,MIL,OF,26000000.00,32,144,550,106,153,34,1,19,76,28,3,78,140,0,1,3,0.278,0.37,0.447,0.817,0
Marcus Semien,TEX,2B,26000000.00,33,162,670,122,185,40,4,29,100,14,3,72,110,0,5,5,0.276,0.348,0.478,0.826,0
Paul Goldschmidt,STL,1B,26000000.00,36,154,593,89,159,31,0,25,80,11,2,87,161,0,3,3,0.268,0.363,0.447,0.81,0
Joey Votto,CIN,1B,25000000.00,40,65,208,26,42,6,0,14,38,0,0,27,62,0,0,7,0.202,0.314,0.433,0.747,0
Mookie Betts,LAD,OF,25000000.00,31,152,584,126,179,40,1,39,107,14,3,96,107,0,5,8,0.307,0.408,0.579,0.987,0
George Springer,TOR,OF,24166666.00,34,154,613,87,158,25,1,21,72,20,5,60,125,0,3,5,0.258,0.327,0.405,0.732,0
J.T. Realmuto,PHI,C,23875000.00,33,135,489,70,123,28,5,20,63,16,5,35,138,0,5,9,0.252,0.31,0.452,0.762,0
Juan Soto,SD,OF,23000000.00,25,162,568,97,156,32,1,35,109,12,5,132,129,1,5,2,0.275,0.41,0.519,0.929,1
Javier Baez,DET,SS,22000000.00,31,136,510,58,113,18,4,9,59,12,0,24,125,0,3,9,0.222,0.267,0.325,0.592,0
Matt Olson,ATL,1B,21000000.00,29,162,608,127,172,27,3,54,139,1,0,104,167,0,4,4,0.283,0.389,0.604,0.993,0
Starling Marte,NYM,OF,20750000.00,35,86,315,38,78,7,1,5,28,24,4,16,69,2,0,8,0.248,0.301,0.324,0.625,0
Kyle Schwarber,PHI,OF,20000000.00,31,160,585,108,115,19,1,47,104,0,2,126,215,0,3,6,0.197,0.343,0.474,0.817,0
Nick Castellanos,PHI,OF,20000000.00,32,157,626,79,170,37,2,29,106,11,2,36,185,0,6,3,0.272,0.311,0.476,0.787,0
Salvador Perez,KC,C,20000000.00,33,140,538,59,137,21,0,23,80,0,0,19,135,0,8,13,0.255,0.292,0.422,0.714,0
Trevor Story,BOS,SS,20000000.00,31,43,158,12,32,9,0,3,14,10,3,9,55,0,0,1,0.203,0.25,0.316,0.566,0
Joc Pederson,SF,OF,19650000.00,31,121,358,59,84,14,3,15,51,0,0,57,89,0,3,7,0.235,0.348,0.416,0.764,0
Jose Abreu,HOU,1B,19500000.00,37,141,540,62,128,23,1,18,90,0,1,42,130,0,6,6,0.237,0.296,0.383,0.679,0
Rafael Devers,BOS,3B,19318182.00,27,153,580,90,157,34,0,33,100,5,1,62,126,0,3,11,0.271,0.351,0.5,0.851,0
Jorge Soler,MIA,OF,19000000.00,32,137,504,77,126,24,0,36,75,1,0,66,141,0,4,6,0.25,0.341,0.512,0.853,0
Brandon Nimmo,NYM,OF,18500000.00,30,152,592,89,162,30,6,24,68,3,3,74,146,1,4,11,0.274,0.363,0.466,0.829,0
Michael Conforto,SF,OF,18000000.00,31,125,406,58,97,14,0,15,58,4,0,53,106,0,4,7,0.239,0.334,0.384,0.718,0
Seiya Suzuki,CHC,OF,18000000.00,29,138,515,75,147,31,6,20,74,6,7,59,130,0,7,2,0.285,0.357,0.485,0.842,0
Manny Machado,SD,3B,17090909.00,31,138,543,75,140,21,0,30,91,3,2,50,109,0,6,2,0.258,0.319,0.462,0.781,0
Anthony Rizzo,NYY,1B,17000000.00,34,99,373,45,91,14,0,12,41,0,3,35,97,0,1,12,0.244,0.328,0.378,0.706,0
Josh Bell,MIA,1B,16500000.00,31,150,547,52,135,28,0,22,74,0,1,63,134,0,3,2,0.247,0.325,0.419,0.744,0
Brandon Crawford,SF,SS,16000000.00,37,94,283,31,55,11,1,7,38,3,0,28,81,1,4,4,0.194,0.273,0.314,0.587,0
Marcell Ozuna,ATL,DH,16000000.00,33,144,530,84,145,29,1,40,100,0,0,57,134,0,2,3,0.274,0.346,0.558,0.904,0
